t;tr;ch1;ch2;ch3;ch4;sum
993;7;4;8;12;14;38
994;7;9;14;15;13;51
995;7;12;7;10;8;37
996;7;17;6;13;15;51
997;7;15;9;8;11;43
998;7;8;11;10;12;41
999;7;8;11;9;11;39
1000;7;8;15;7;14;44
1001;7;11;12;14;11;48
1002;7;7;11;9;7;34
1003;7;7;8;14;9;38
1004;7;8;17;9;13;47
1005;7;8;8;13;8;37
1006;7;7;15;9;12;43
1007;7;4;12;15;5;36
1008;7;9;16;15;8;48
1009;7;7;12;9;4;32
1010;7;10;9;12;12;43
1011;7;11;12;12;9;44
1012;7;18;12;9;14;53
1013;7;6;9;9;7;31
1014;7;6;12;6;11;35
1015;7;10;12;15;11;48
1016;7;6;16;10;8;40
1017;7;11;14;11;6;42
1018;7;10;8;15;12;45
1019;7;5;12;12;9;38
1020;7;9;11;13;6;39
1021;7;6;17;13;6;42
1022;8;22;23;24;28;97
1023;8;27;22;18;15;82
1024;8;15;12;22;15;64
1025;8;25;22;18;16;81
1026;8;19;15;19;23;76
1027;8;19;19;19;19;76
1028;8;9;19;24;21;73
1029;8;11;22;26;24;83
1030;8;11;27;18;24;80
1031;8;10;18;18;13;59
1032;8;8;14;18;18;58
1033;8;13;12;18;17;60
1034;8;12;17;15;23;67
1035;8;12;21;21;18;72
1036;8;9;16;14;16;55
1037;8;12;15;13;7;47
1038;8;14;18;12;16;60
1039;8;14;6;9;17;46
1040;8;12;13;21;19;65
1041;8;10;22;9;11;52
1042;8;13;16;10;17;56
1043;8;10;8;18;12;48
1044;8;10;15;20;15;60
1045;8;7;19;12;16;54
1046;8;14;17;17;16;64
1047;8;8;18;22;18;66
1048;8;15;15;16;9;55
1049;8;11;16;12;8;47
1050;8;17;13;9;9;48
1051;8;13;14;20;16;63
1052;8;12;19;16;13;60
1053;8;10;15;14;14;53
1054;8;15;13;12;8;48
1055;8;7;7;13;16;43
1056;8;11;12;18;11;52
1057;8;10;15;16;6;47
1058;8;5;16;12;8;41
1059;8;8;10;13;9;40
1060;8;10;7;7;11;35
1061;8;12;13;14;16;55
1062;8;13;18;14;13;58
1063;8;7;10;16;12;45
1064;8;10;11;12;9;42
1065;8;15;11;9;11;46
1066;8;7;10;12;14;43
1067;8;14;11;10;9;44
1068;8;13;11;7;11;42
1069;8;10;9;14;10;43
1070;8;8;15;20;15;58
1071;8;8;15;13;6;42
1072;8;6;12;13;10;41
1073;8;7;15;13;9;44
1074;8;8;10;8;10;36
1075;8;7;17;9;12;45
1076;8;5;12;9;13;39
1077;8;7;14;14;21;56
1078;8;9;11;11;5;36
1079;8;11;18;13;3;45
1080;8;11;14;15;15;55
1081;8;7;9;8;8;32
1082;8;11;21;13;9;54
1083;8;7;11;9;13;40
1084;8;9;18;11;11;49
1085;8;10;9;13;10;42
1086;8;9;15;16;11;51
1087;8;11;11;15;15;52
1088;8;11;10;13;9;43
1089;8;7;15;12;6;40
1090;8;15;6;11;17;49
1091;8;9;18;16;10;53
1092;8;2;14;7;13;36
1093;8;9;10;15;6;40
1094;8;6;7;13;16;42
1095;8;16;10;11;11;48
1096;8;15;11;20;14;60
1097;8;9;10;18;15;52
1098;10;19;21;19;16;75
1099;10;19;16;22;18;75
1100;10;14;19;12;24;69
1101;10;9;19;24;11;63
1102;10;13;17;17;18;65
1103;10;19;21;14;14;68
1104;10;12;23;18;17;70
1105;10;14;20;18;22;74
1106;10;13;18;20;22;73
1107;10;5;12;11;15;43
1108;10;10;14;9;16;49
1109;10;11;10;17;14;52
1110;10;14;19;16;17;66
1111;10;16;16;17;13;62
1112;10;13;21;15;30;79
1113;10;14;21;16;18;69
1114;10;11;15;11;11;48
1115;10;9;11;15;12;47
1116;10;9;19;9;18;55
1117;10;6;14;16;16;52
1118;10;14;12;15;12;53
1119;10;13;12;20;15;60
1120;10;14;15;13;9;51
1121;10;7;16;9;14;46
1122;10;7;11;14;10;42
1123;10;11;12;10;10;43
1124;10;11;11;9;13;44
1125;10;14;13;15;15;57
1126;10;10;15;14;15;54
1127;10;3;11;7;13;34
1128;10;6;16;19;9;50
1129;10;8;7;9;16;40
1130;10;12;14;14;11;51
1131;10;11;13;9;21;54
1132;10;9;16;17;11;53
1133;10;5;14;13;14;46
1134;10;15;9;14;11;49
1135;10;8;11;9;11;39
1136;10;9;15;9;15;48
1137;10;16;11;13;13;53
1138;10;8;12;12;14;46
1139;10;13;11;13;10;47
1140;10;12;12;8;12;44
1141;10;7;13;9;7;36
1142;10;9;7;11;12;39
1143;10;7;8;11;13;39
1144;10;10;17;14;9;50
1145;10;11;13;12;15;51
1146;10;13;13;15;7;48
1147;10;11;13;10;6;40
1148;10;4;13;8;8;33
1149;10;11;12;12;12;47
1150;10;8;6;16;14;44
1151;10;11;13;10;12;46
1152;10;5;12;15;6;38
1153;10;10;10;11;11;42
1154;10;11;12;12;12;47
1155;10;7;14;13;6;40
1156;10;11;11;12;9;43
1157;10;16;11;14;9;50
1158;10;10;8;10;10;38
1159;10;8;9;10;9;36
1160;10;12;8;13;11;44
1161;10;7;15;7;9;38
1162;10;14;9;15;7;45
1163;10;16;13;10;7;46
1164;10;9;10;9;11;39
1165;10;7;9;12;19;47
1166;10;5;18;11;12;46
1167;10;6;13;6;9;34
1168;10;10;14;14;13;51
1169;10;7;9;7;8;31
1170;10;9;11;16;11;47
1171;10;13;11;12;14;50
1172;10;7;12;15;8;42
1173;10;10;13;11;11;45
1174;10;9;15;15;13;52
1175;10;7;12;10;7;36
1176;10;7;9;13;11;40
1177;10;5;8;4;8;25
1178;10;4;7;9;10;30
1179;10;7;11;12;13;43
1180;10;9;11;8;11;39
1181;10;4;10;8;14;36
1182;10;11;9;6;7;33
1183;10;9;11;16;12;48
1184;10;4;13;8;3;28
1185;10;4;9;8;6;27
1186;10;14;9;10;12;45
1187;10;11;9;8;9;37
1188;10;4;12;15;11;42
1189;10;14;8;11;13;46
1190;10;10;12;8;10;40
1191;10;12;7;10;14;43
1192;10;6;12;12;12;42
1193;10;6;17;8;7;38
1194;10;7;10;9;12;38
