t;tr;ch1;ch2;ch3;ch4;sum
226;0;10;7;14;13;44
227;0;5;12;14;5;36
228;0;16;11;14;6;47
229;0;13;7;11;15;46
230;0;11;6;13;12;42
231;0;11;12;11;18;52
232;0;8;14;10;9;41
233;0;7;13;7;6;33
234;0;6;10;13;12;41
235;0;13;11;12;8;44
236;0;8;15;12;9;44
237;0;5;16;15;12;48
238;0;12;19;11;10;52
239;0;9;10;10;13;42
240;0;12;12;9;12;45
241;0;5;12;10;18;45
242;0;9;16;9;12;46
243;0;7;5;10;10;32
244;0;12;10;18;12;52
245;0;9;8;21;12;50
246;0;7;9;12;10;38
247;0;15;12;13;13;53
248;0;5;14;8;14;41
249;0;7;10;11;12;40
250;0;12;13;9;11;45
251;0;19;23;18;20;80
252;0;7;8;14;9;38
253;0;10;18;12;19;59
254;0;10;11;15;9;45
255;0;9;9;12;13;43
256;0;18;17;8;10;53
257;0;11;13;10;15;49
258;0;11;13;10;9;43
259;0;14;8;10;13;45
260;0;16;13;19;7;55
261;0;10;15;16;9;50
262;0;12;17;14;15;58
263;0;6;12;12;9;39
264;0;7;16;10;13;46
265;0;11;7;6;10;34
266;0;12;15;12;11;50
267;0;16;9;12;11;48
268;0;11;14;11;14;50
269;0;15;10;13;14;52
270;0;11;11;9;17;48
271;0;11;12;13;12;48
272;0;12;17;14;13;56
273;0;6;16;23;8;53
274;0;8;22;9;13;52
275;0;2;12;16;12;42
276;0;12;18;11;9;50
277;0;7;16;15;9;47
278;0;11;16;14;8;49
279;0;6;11;13;14;44
280;0;9;13;13;14;49
281;0;15;13;15;13;56
282;0;8;13;16;11;48
283;0;13;12;16;11;52
284;0;15;15;12;11;53
285;0;8;11;11;10;40
286;0;4;9;18;20;51
287;0;12;13;12;13;50
288;0;9;15;15;11;50
289;0;11;18;15;11;55
290;0;6;16;15;10;47
291;0;9;6;8;17;40
292;0;12;11;7;10;40
293;0;7;13;22;17;59
294;0;12;15;12;13;52
295;0;15;9;12;9;45
296;0;7;11;17;13;48
297;0;9;17;12;9;47
298;0;7;13;15;7;42
299;0;14;7;10;17;48
300;0;6;18;10;12;46
301;0;14;14;10;18;56
302;0;14;10;7;14;45
303;0;13;15;10;17;55
304;0;13;14;14;16;57
305;0;7;15;10;11;43
306;0;9;10;11;13;43
307;0;10;11;16;11;48
308;0;10;13;12;11;46
309;0;12;5;15;10;42
310;0;6;12;19;10;47
311;0;10;6;19;7;42
312;0;13;11;9;13;46
313;0;15;8;16;13;52
314;0;14;14;12;10;50
315;0;16;10;11;11;48
316;0;7;14;11;14;46
317;0;12;14;17;9;52
318;0;9;16;13;14;52
319;0;8;12;13;11;44
320;0;10;20;13;11;54
321;0;13;15;9;12;49
322;0;15;9;12;10;46
323;0;9;11;19;15;54
324;0;12;19;15;8;54
325;0;10;11;7;14;42
326;0;11;12;14;17;54
327;0;12;15;17;14;58
328;0;18;9;16;13;56
329;0;11;17;11;11;50
330;0;10;15;15;12;52
331;0;8;12;18;8;46
332;0;12;10;13;13;48
333;0;8;10;14;9;41
334;0;5;16;11;15;47
335;0;8;18;15;12;53
336;0;12;13;15;10;50
337;0;14;13;16;12;55
338;0;8;10;8;13;39
339;0;6;14;7;17;44
340;0;6;13;13;11;43
341;0;7;15;12;14;48
342;0;12;9;16;12;49
343;0;13;17;15;12;57
344;0;10;12;13;11;46
345;0;7;11;7;16;41
346;0;12;7;11;9;39
347;0;9;15;12;15;51
348;0;8;13;5;9;35
349;0;11;8;17;13;49
350;0;10;11;7;18;46
351;0;10;15;10;9;44
352;0;13;8;15;12;48
353;0;7;13;19;9;48
354;0;10;15;14;16;55
355;0;14;15;14;6;49
356;0;12;10;15;13;50
357;0;12;12;11;12;47
358;0;8;14;17;10;49
359;0;7;17;13;20;57
360;0;5;13;9;13;40
361;0;11;12;9;10;42
362;0;13;11;10;11;45
363;0;9;12;10;15;46
364;0;9;14;15;9;47
365;0;7;15;14;10;46
366;0;14;15;16;14;59
367;0;5;14;14;14;47
368;0;11;8;9;12;40
369;0;10;13;11;9;43
370;0;5;13;21;10;49
371;0;11;20;11;7;49
372;0;9;17;6;14;46
373;0;15;23;17;18;73
374;0;9;15;9;10;43
375;0;9;8;10;10;37
376;0;12;13;12;13;50
377;0;8;14;15;7;44
378;0;12;10;16;8;46
379;0;12;14;13;8;47
380;0;12;14;19;9;54
381;0;22;15;17;15;69
382;0;6;12;8;8;34
383;0;10;10;9;16;45
384;0;9;9;16;17;51
385;0;11;12;20;13;56
386;0;12;11;11;18;52
387;0;7;20;9;6;42
388;0;10;15;6;10;41
389;0;9;11;14;10;44
390;0;13;7;11;13;44
391;0;11;19;9;12;51
392;0;7;14;17;10;48
393;0;9;10;13;12;44
394;0;8;12;6;6;32
395;0;7;10;16;21;54
396;0;11;10;11;20;52
397;0;4;7;13;17;41
398;0;13;10;20;12;55
399;0;11;8;9;13;41
400;0;17;9;20;7;53
401;0;8;13;8;13;42
402;0;11;11;15;5;42
403;0;11;12;20;10;53
404;0;8;10;10;8;36
405;0;11;12;11;7;41
406;0;5;10;12;9;36
407;0;12;5;11;7;35
408;0;14;10;6;12;42
409;0;9;15;13;15;52
410;0;9;4;18;7;38
411;0;8;14;14;8;44
412;0;8;6;7;16;37
413;0;13;16;7;11;47
414;0;4;13;12;12;41
415;0;4;16;14;11;45
416;0;17;13;10;15;55
417;0;7;12;15;8;42
418;0;6;10;9;10;35
419;0;8;15;11;11;45
420;0;8;12;11;16;47
421;0;12;14;14;10;50
422;0;11;14;13;15;53
423;0;14;10;15;14;53
424;0;18;15;17;9;59
425;0;13;13;13;6;45
426;0;9;10;9;9;37
427;0;10;16;11;11;48
428;0;18;10;10;14;52
429;0;15;15;13;14;57
430;0;8;9;13;14;44
431;0;15;6;6;10;37
432;0;10;17;14;11;52
433;0;13;15;14;8;50
434;0;10;14;9;10;43
435;0;10;11;8;8;37
436;0;11;13;13;16;53
437;0;14;16;10;6;46
438;0;8;15;11;9;43
439;0;10;9;12;17;48
440;0;15;6;10;11;42
441;0;5;8;16;10;39
442;0;9;11;8;12;40
443;0;12;14;10;10;46
444;0;8;21;10;6;45
